name,length,gc,cov1,cov1r,cov1dr,cov2,cov2r,cov2dr,cov3,cov3r,cov3dr,cov4,cov4r,cov4dr,cov5,cov5r,cov5dr,cov6,cov6r,cov6dr,cov7,cov7r,cov7dr,cov8,cov8r,cov8dr,cov9,cov9r,cov9dr,totalCoverage,avgCoverage,PC1,PC2,PC3,PC4,PC5,PC1r,PC2r,PC3r,PC4r,PC5r,refphylum,reftax,refseq.assignments,essphylum,esstax,essassignments,NoEss,PreBinID,BinAvgCov,GenomeSize,Taxon,Completeness,Contamination,Connections
52346,5006,70.27,1.42092,2,2,0.821252,1,1,5.54263,6,6,8.77409,9,9,7.8124,8,8,33.8643,35,34,24.8888,26,26,17.354,18,18,36.8764,38,38,137.355,15.26167,-0.301192716710382,0.16351624735299,0.165530588098474,-0.6025936016896,0.4136785980489,-0.260689388444,0.16619816961,0.193224678214,-0.541698255615,0.417452278254,Gemmatimonadetes,787,Gemmatimonadetes,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
46960,2508,34.17,60.6764,65,62,21.9305,23,22,8.94953,9,9,6.51527,7,7,7.85115,8,8,5.86938,6,6,1.29941,2,2,0.318066,1,1,0.669211,1,1,114.079,12.67544,0.0560365696969664,-0.0743903621381065,-0.209690510896827,0.180794907111137,-0.249090645498058,0.0727484921855,-0.0454320813368,-0.207540273537,0.210870068596,-0.241291055994,Chloroflexi,2,Chloroflexi,Unclassified,0,Unclassified,1,143,11.408934571428574,60.8,k__Bacteria,86.17814508723599,1.0606060606060606,783
14640,7571,44.9,0.360868,1,1,0.149845,1,1,1.03086,2,2,0.565961,1,1,0.161703,1,1,4.32395,5,5,2.43646,3,3,4.47042,5,5,2.18636,3,3,15.6864,1.74293,-0.144680895761184,0.0333037561610208,-0.0883807036521529,0.195401153101634,0.0136805835869826,-0.135650183208,0.0603830441365,-0.0644099336255,0.210870068596,0.0175009681747,NaRef,NaRef,NaRef,NA,-1,NA,0,47,1.649330405904059,66.6,k__Bacteria,87.27272727272727,4.545454545454546,2
50754,35343,60.02,5.13935,6,6,7.61089,8,8,11.6533,12,12,19.3417,20,20,11.2362,12,12,28.5687,29,30,8.43742,9,9,7.68988,8,8,27.1049,29,28,126.782,14.08689,-0.26824822667195,0.184906618898044,-0.34114327435994,0.274756581857741,-0.0527898896822995,-0.260689388444,0.219105732346,-0.322044545465,0.301178267501,-0.0295521271288,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria,3,145,13.988370962343096,69.8,c__Betaproteobacteria,95.29628888222788,1.2638230647709319,0
23566,5374,65.09,1.71133,2,2,1.43568,2,2,5.84265,6,6,9.91195,10,10,9.54709,10,10,34.1734,35,36,27.1116,29,28,21.8375,23,22,46.6485,47,48,158.22,17.58,-0.185937447992054,0.0991858555538841,0.246718512678617,0.120285210584707,0.391318850526099,-0.177329918286,0.113290606873,0.250476814179,0.120561869691,0.393925730602,NaRef,NaRef,NaRef,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
7740,4840,39.37,38.2667,41,40,5.92303,6,6,3.29062,4,4,1.52111,2,2,2.07015,3,3,1.11365,2,2,0.68209,1,1,0.948827,1,1,1.64243,2,2,55.4586,6.16207,0.0398909225186039,-0.212625312297681,-0.185295290431809,0.116968605033951,0.0864197200593848,0.0727484921855,-0.204154769547,-0.178914205554,0.120561869691,0.0880806111298,Chloroflexi,2,Chloroflexi,NA,-1,NA,0,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
48583,4620,67.39,52.0112,55,54,22.5911,23,24,10.049,12,11,5.69217,6,6,7.58837,8,8,5.32908,6,6,0.474497,1,1,0.438702,1,1,0.523714,1,1,104.698,11.63311,0.0343642622327714,-0.158759627148513,-0.314047172908294,0.161384694002263,0.1228467840969,0.0727484921855,-0.15124720681,-0.293418477483,0.180767335628,0.135133706433,NaRef,NaRef,NaRef,NA,-1,NA,0,143,11.408934571428574,60.8,k__Bacteria,86.17814508723599,1.0606060606060606,783
3900,2715,70.42,44.9532,47,46,8.71072,9,9,4.85029,5,5,2.79844,3,3,1.60897,2,2,1.38285,2,2,0.853021,1,1,1.36452,2,2,1.01481,2,2,67.5368,7.50409,0.153028271538614,-0.0112720458038285,0.0328908280066321,0.355117442164256,0.145489313753267,0.156107962343,0.00747548139982,0.0500943383033,0.361383733438,0.158660254085,Chloroflexi,2,Chloroflexi,Unclassified,0,Unclassified,1,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
16476,9754,68.3,1.6868,2,2,1.4974,2,2,6.37766,7,7,7.66264,8,8,8.50115,9,9,33.0587,35,34,26.9178,29,28,19.3057,20,20,40.3335,41,42,145.341,16.149,-0.309139575241979,0.21292102836652,0.0532504913988184,-0.390802243038319,0.278780582346562,-0.302369123522,0.219105732346,0.0787204062855,-0.361081857804,0.299819539995,NaRef,NaRef,NaRef,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
19059,21379,71,0.537001,1,1,0.0917142,1,1,1.63851,2,2,0.678317,1,1,0.558199,1,1,6.51505,7,7,4.48679,5,5,5.92105,6,6,4.54265,5,5,24.9693,2.77437,-0.113813929290727,-0.0618816439059061,-0.057435067235781,-0.257076287845709,0.196350798741015,-0.0939704481291,-0.0454320813368,-0.0357838656433,-0.24067092593,0.205713349388,Cyanobacteria,9,Euryarchaeota;Chloroflexi;Actinobacteria;Cyanobacteria;Cyanobacteria,NA,-1,NA,0,68,2.762405,62.6,k__Bacteria,91.81818181818181,3.8181818181818183,3
